model,year,transmission,mileage,fuelType,mpg,engineSize,price
 Focus,2003,Manual,177644,Petrol,20.75,1.6,495
 Mondeo,2005,Manual,97000,Diesel,24.35,2,675
 Mondeo,2005,Manual,108000,Petrol,18.1,1.8,675
 Focus,2005,Manual,121000,Petrol,19.9,2,675
A3,2019,Manual,1998,Petrol,24.8,1,17300
 Fiesta,2008,Manual,82020,Petrol,23.55,1.2,694
 Focus,2005,Manual,71214,Petrol,21.05,1.6,795
 KA,2008,Manual,76000,Petrol,21.75,1.3,795
 Avensis,2003,Manual,167054,Diesel,24.35,2,850
 KA,2008,Manual,77000,Petrol,21.75,1.3,850
 Mondeo,2002,Manual,136784,Petrol,18.1,1.8,895
 Beetle,2001,Automatic,1,Petrol,14.85,2,899
 Corolla,2001,Automatic,76000,Petrol,17.65,1.6,899
 Yaris,2002,Manual,104000,Petrol,20.2,1.5,950
 Fiesta,2004,Manual,74000,Petrol,22.8,1.2,950
 Yaris,2003,Manual,107000,Petrol,25.2,1,975
 Fabia,2006,Manual,107765,Petrol,23.55,1.2,995
 Fiesta,2004,Manual,111000,Petrol,22.8,1.2,999
 KA,2006,Manual,94400,Petrol,21.75,1.3,1095
 Octavia,2010,Manual,300000,Diesel,28.8,1.9,1190
3 Series,1999,Automatic,82000,Petrol,15.5,2.8,1200
 Santa Fe,2002,Manual,94000,Petrol,15.2,2.4,1200
 Mondeo,2007,Manual,110000,Diesel,23.95,2,1200
 Avensis,2007,Automatic,120000,Petrol,18.35,1.8,1200
 Corolla,2004,Manual,111000,Petrol,18.6,1.8,1250
 Fox,2006,Manual,82704,Petrol,23.15,1.2,1250
 Fabia,2010,Manual,145268,Diesel,27.7,1.4,1250
A1,2018,Manual,10793,Petrol,28.25,1.4,15800
A4,2018,Automatic,25138,Diesel,35.3,2,17200
 Golf,2002,Manual,117000,Petrol,17.9,2,1275
 Golf,2004,Manual,170000,Diesel,26.15,2,1287
 Focus,2008,Manual,137000,Diesel,27.15,1.8,1290
 KA,2008,Manual,59750,Petrol,21.75,1.3,1294
 Accent,2000,Automatic,47000,Petrol,19.35,1.3,1295
 Beetle,2001,Manual,110000,Petrol,24.8,1.6,1295
 Fabia,2004,Manual,96000,Petrol,23.55,1.2,1295
 Mondeo,2005,Manual,103000,Diesel,24.35,2,1295
 Fiesta,2005,Manual,119000,Petrol,22.8,1.2,1295
 Aygo,2005,Manual,88836,Petrol,30.7,1,1295
 Fabia,2006,Manual,100964,Petrol,23.55,1.2,1295
